days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type,final_exam_score
10,177,7,7.0,2,18.6,20.0,19.5,0.71,0.9,5.0,2.0,strong,memorization_heavy,Evening,No_issue,18.1
7,179,9,5.0,4,7.6,15.4,17.5,0.93,0.21,5.0,,strong,memorization_heavy,morning,panic_mode,16.5
6,140,2,5.4,1,10.2,5.3,6.9,0.27,0.05,6.9,3.0,none,project_heavy,Evening,panic_mode,6.1
9,270,0,5.9,6,27.5,8.2,9.3,0.06,0.06,4.4,4.0,none,theory_heavy,afternoon,panic_mode,13.7
8,152,3,8.2,4,9.6,3.1,7.7,0.34,0.25,4.4,3.0,none,memorization_heavy,Evening,panic_mode,10.3
10,59,9,5.0,1,39.6,15.3,14.8,0.91,0.93,7.8,1.0,none,theory_heavy,morning,No_issue,19.0
7,284,5,7.9,2,6.3,8.7,12.0,0.57,0.56,3.7,3.0,basic,theory_heavy,afternoon,panic_mode,6.1
7,284,1,6.3,6,5.0,11.4,10.5,0.14,0.99,5.2,5.0,none,memorization_heavy,afternoon,panic_mode,5.9
1,177,9,8.2,0,1.1,11.9,15.3,0.94,0.03,5.2,3.0,basic,project_heavy,morning,Denial_mode,8.2
3,118,2,6.9,2,3.8,12.0,9.1,0.3,0.97,3.4,4.0,none,memorization_heavy,morning,panic_mode,10.7
6,272,5,8.4,4,27.7,6.5,6.7,0.55,0.64,8.8,,none,theory_heavy,afternoon,Denial_mode,5.4
0,255,9,6.2,6,1.1,14.9,12.9,0.99,0.79,5.9,4.0,basic,memorization_heavy,afternoon,Denial_mode,6.3
4,107,1,7.6,2,26.1,8.8,8.8,0.14,0.49,6.7,1.0,none,project_heavy,afternoon,Denial_mode,4.1
4,51,7,7.6,7,12.7,16.3,19.9,0.79,0.5,6.6,2.0,strong,project_heavy,morning,No_issue,19.3
9,263,7,4.3,2,23.4,14.8,8.7,0.75,0.97,8.4,2.0,basic,theory_heavy,Evening,Denial_mode,7.3
4,231,9,7.0,0,20.8,0.1,6.7,0.92,0.2,7.6,3.0,none,memorization_heavy,Evening,panic_mode,14.0
10,64,1,5.6,3,27.9,9.3,15.6,0.17,0.44,4.7,3.0,basic,theory_heavy,afternoon,panic_mode,10.6
5,177,8,7.6,3,14.4,17.1,16.9,0.88,0.64,8.1,2.0,strong,theory_heavy,afternoon,Denial_mode,9.0
8,222,0,4.9,4,36.9,14.6,,0.04,0.7,5.7,3.0,none,theory_heavy,afternoon,No_issue,16.5
10,167,2,8.0,1,5.9,8.8,13.7,0.24,0.32,4.3,,basic,memorization_heavy,Evening,panic_mode,5.3
6,102,2,6.9,5,2.4,11.8,8.0,0.26,0.78,6.0,5.0,none,project_heavy,Evening,panic_mode,6.8
5,279,4,6.5,2,34.0,20.0,16.6,0.49,0.57,8.5,,strong,project_heavy,morning,No_issue,18.0
6,178,2,6.8,4,31.3,10.8,10.2,0.25,0.54,6.5,2.0,strong,theory_heavy,morning,Denial_mode,7.0
10,154,9,4.3,2,26.2,19.4,,0.95,0.62,8.8,2.0,,project_heavy,afternoon,Denial_mode,12.4
1,94,6,4.3,7,6.3,11.3,11.7,0.65,0.97,5.5,5.0,basic,memorization_heavy,morning,panic_mode,2.7
2,290,5,5.3,5,15.4,11.6,9.1,0.53,0.68,6.8,5.0,none,project_heavy,morning,panic_mode,8.9
5,161,5,4.9,1,7.7,12.7,13.4,0.51,0.21,3.0,3.0,none,memorization_heavy,Evening,panic_mode,15.1
3,78,9,8.8,0,14.8,9.2,10.4,0.92,0.7,4.1,2.0,none,project_heavy,afternoon,No_issue,13.6
6,190,0,5.0,4,33.4,9.3,12.6,0.09,0.13,4.5,3.0,basic,theory_heavy,morning,panic_mode,12.8
0,51,2,8.2,7,1.7,10.7,9.4,0.24,0.52,6.9,4.0,none,theory_heavy,afternoon,Denial_mode,1.3
7,121,5,6.5,5,9.2,20.0,17.3,0.57,0.77,3.9,4.0,basic,project_heavy,morning,panic_mode,16.0
1,119,7,5.1,1,5.4,8.5,11.9,0.73,0.51,7.4,3.0,none,theory_heavy,Evening,No_issue,11.0
9,86,3,6.2,1,37.7,4.8,11.7,0.35,0.02,6.1,2.0,basic,memorization_heavy,afternoon,No_issue,14.4
6,238,1,4.5,2,22.4,15.4,11.7,0.13,0.79,4.8,3.0,basic,memorization_heavy,afternoon,panic_mode,11.2
7,209,8,8.9,6,15.2,10.5,10.1,0.82,0.26,7.6,2.0,none,theory_heavy,morning,No_issue,12.2
1,189,8,5.4,1,6.1,0.0,8.9,0.9,0.12,8.0,5.0,basic,theory_heavy,afternoon,panic_mode,3.9
4,127,3,6.4,0,35.8,14.7,14.6,0.33,0.62,5.0,4.0,strong,theory_heavy,afternoon,panic_mode,13.7
6,77,9,8.5,3,20.6,7.5,10.9,0.93,0.18,7.8,2.0,none,theory_heavy,morning,No_issue,12.1
6,72,9,6.5,2,30.0,4.3,6.7,0.98,0.23,7.5,3.0,,memorization_heavy,Evening,panic_mode,7.5
8,209,0,5.1,0,22.7,7.0,11.5,0.09,0.47,4.8,3.0,none,memorization_heavy,morning,panic_mode,12.7
7,104,2,7.1,7,14.0,13.7,16.2,0.2,0.29,6.5,2.0,basic,memorization_heavy,afternoon,Denial_mode,10.8
0,275,3,6.5,3,1.4,3.4,9.0,0.38,0.34,6.4,5.0,none,theory_heavy,morning,Denial_mode,3.2
3,128,1,5.5,3,32.3,2.0,7.5,0.13,0.33,7.2,3.0,basic,project_heavy,morning,panic_mode,3.1
4,94,7,4.7,2,12.3,11.7,15.9,0.72,0.22,4.5,,basic,memorization_heavy,Evening,panic_mode,13.8
10,210,7,6.4,3,22.3,5.3,,0.71,0.72,6.6,2.0,none,theory_heavy,Evening,No_issue,10.8
5,54,3,8.9,6,37.3,6.8,8.4,0.33,0.37,7.4,3.0,basic,memorization_heavy,Evening,panic_mode,9.9
9,79,9,4.5,2,15.5,9.2,7.6,0.92,0.57,8.6,3.0,none,project_heavy,morning,panic_mode,5.7
10,235,4,8.8,0,1.4,11.8,10.9,0.47,0.33,5.1,,basic,memorization_heavy,afternoon,No_issue,12.4
5,254,2,4.3,0,0.3,6.9,14.1,0.24,0.14,4.3,4.0,basic,memorization_heavy,afternoon,panic_mode,10.2
0,177,3,8.2,2,8.2,16.7,20.0,0.39,0.27,8.9,3.0,strong,project_heavy,morning,No_issue,17.0
1,259,4,6.1,5,9.6,2.7,,0.49,0.21,8.8,5.0,none,project_heavy,afternoon,No_issue,10.9
5,221,9,8.1,6,6.8,10.4,15.3,0.94,0.02,5.3,3.0,basic,project_heavy,morning,panic_mode,14.8
7,74,1,6.1,1,32.0,8.4,13.2,0.13,0.25,7.7,3.0,none,memorization_heavy,morning,No_issue,14.0
3,300,8,4.0,2,24.2,7.8,13.1,0.83,0.04,4.9,3.0,none,memorization_heavy,Evening,panic_mode,14.0
3,186,8,8.3,0,20.0,13.4,12.1,0.87,0.61,7.2,2.0,basic,theory_heavy,Evening,No_issue,14.8
1,85,2,6.1,0,9.6,11.1,11.4,0.25,0.4,8.4,4.0,none,project_heavy,Evening,No_issue,13.7
6,93,5,7.0,1,33.7,11.8,16.2,0.51,0.44,6.7,3.0,basic,project_heavy,morning,No_issue,16.7
9,299,6,7.5,0,26.0,7.8,11.6,0.63,0.28,8.6,1.0,basic,theory_heavy,afternoon,Denial_mode,8.7
7,109,7,4.3,5,17.8,13.9,16.6,0.72,0.38,8.0,2.0,basic,project_heavy,afternoon,No_issue,17.0
1,130,5,5.6,3,0.7,20.0,17.9,0.59,0.94,7.3,5.0,strong,memorization_heavy,morning,Denial_mode,8.2
1,61,7,4.4,0,5.2,11.8,13.1,0.76,0.37,3.6,5.0,basic,project_heavy,morning,panic_mode,7.5
3,176,9,4.1,0,11.6,9.8,11.1,0.95,0.11,6.8,3.0,none,memorization_heavy,Evening,No_issue,13.8
9,174,4,6.4,7,36.9,11.8,13.4,0.45,0.64,3.3,3.0,none,memorization_heavy,morning,panic_mode,9.5
10,236,3,6.0,2,23.4,9.6,13.5,0.35,0.17,6.9,3.0,none,memorization_heavy,afternoon,No_issue,13.0
7,117,1,4.7,0,3.0,11.7,11.7,0.11,0.66,8.3,4.0,basic,theory_heavy,Evening,No_issue,10.3
1,220,0,4.4,5,11.8,10.9,12.5,0.1,0.38,4.7,4.0,none,memorization_heavy,Evening,panic_mode,5.1
3,235,9,7.2,2,11.0,6.6,11.6,0.94,0.29,7.4,2.0,none,memorization_heavy,afternoon,No_issue,13.1
6,167,7,4.7,0,5.9,12.7,12.5,0.74,0.2,6.4,4.0,,project_heavy,morning,No_issue,13.0
8,233,4,4.3,0,15.3,17.6,18.3,0.43,0.0,3.8,2.0,basic,theory_heavy,afternoon,No_issue,19.0
8,218,3,6.9,6,38.2,20.0,18.6,0.34,0.96,5.7,3.0,strong,memorization_heavy,afternoon,panic_mode,14.9
4,97,6,8.7,3,14.2,11.6,14.9,0.6,0.76,8.4,2.0,strong,theory_heavy,morning,Denial_mode,7.5
6,145,8,6.0,6,15.7,12.7,14.6,0.82,0.21,3.2,3.0,strong,project_heavy,morning,panic_mode,10.7
5,104,3,8.5,4,21.2,8.6,7.7,0.3,0.2,7.6,,none,memorization_heavy,afternoon,No_issue,13.2
10,233,7,6.7,4,9.2,10.7,10.9,0.8,0.46,8.9,3.0,basic,memorization_heavy,Evening,No_issue,13.1
8,248,3,8.7,7,36.7,8.1,7.9,0.3,0.48,4.8,3.0,none,project_heavy,afternoon,panic_mode,14.6
0,57,9,4.2,1,6.1,4.4,6.9,0.96,0.65,8.7,5.0,none,theory_heavy,morning,panic_mode,8.6
3,114,6,4.4,1,1.8,16.0,14.7,0.64,0.67,9.0,3.0,basic,memorization_heavy,afternoon,No_issue,12.8
1,65,0,5.4,0,4.6,6.9,,0.03,0.94,7.5,4.0,basic,theory_heavy,Evening,Denial_mode,4.3
4,254,1,5.0,1,23.2,10.1,12.5,0.19,0.43,8.3,3.0,basic,project_heavy,Evening,No_issue,14.6
7,156,1,4.7,7,33.5,15.6,16.8,0.11,0.23,3.7,5.0,,project_heavy,morning,panic_mode,16.5
0,86,6,5.7,1,9.7,5.1,10.8,0.69,0.08,4.4,,basic,project_heavy,morning,panic_mode,7.5
10,186,8,7.6,4,35.7,8.6,13.3,0.82,0.28,5.6,2.0,none,memorization_heavy,afternoon,No_issue,15.2
5,239,0,4.3,4,16.1,13.5,13.6,0.05,0.97,6.0,2.0,strong,memorization_heavy,morning,Denial_mode,10.5
3,281,0,8.7,4,11.7,12.4,14.6,0.02,0.09,4.4,1.0,strong,theory_heavy,morning,Denial_mode,9.1
10,234,3,6.1,6,29.2,5.3,10.2,0.32,0.01,8.7,4.0,none,project_heavy,morning,panic_mode,7.5
5,72,6,4.5,3,8.9,20.0,20.0,0.62,0.57,8.5,4.0,strong,project_heavy,afternoon,No_issue,19.8
6,253,6,6.3,5,25.2,12.1,13.3,0.63,0.38,6.5,3.0,none,theory_heavy,Evening,No_issue,17.3
4,289,5,8.3,1,7.0,12.4,11.1,0.59,0.73,7.3,2.0,basic,memorization_heavy,Evening,No_issue,12.3
6,163,4,7.4,6,4.2,12.1,12.3,0.48,0.63,7.6,3.0,basic,memorization_heavy,morning,panic_mode,7.0
2,212,1,8.1,2,2.1,11.6,9.9,0.12,0.84,6.2,4.0,basic,theory_heavy,afternoon,Denial_mode,4.2
7,87,3,9.0,6,35.9,12.9,11.6,0.4,0.68,3.3,1.0,none,memorization_heavy,afternoon,No_issue,14.6
4,120,1,8.8,7,21.0,9.0,14.6,0.12,0.18,8.3,3.0,strong,memorization_heavy,Evening,panic_mode,10.1
2,129,4,7.7,1,32.5,9.6,9.4,0.5,0.94,4.3,3.0,none,project_heavy,Evening,panic_mode,20.0
5,88,6,8.0,4,15.4,6.9,10.4,0.67,0.45,8.5,1.0,basic,theory_heavy,morning,Denial_mode,4.4
4,228,5,7.7,1,26.4,16.3,19.0,0.53,0.05,4.1,1.0,basic,theory_heavy,afternoon,No_issue,18.1
5,188,4,6.0,4,6.2,11.3,12.2,0.48,0.67,3.6,4.0,basic,project_heavy,morning,panic_mode,8.2
0,235,5,6.8,0,0.4,13.8,15.8,0.51,0.42,8.4,4.0,none,theory_heavy,morning,Denial_mode,8.4
1,198,8,7.6,1,5.1,16.9,14.0,0.85,0.49,3.2,3.0,basic,memorization_heavy,afternoon,panic_mode,10.2
0,262,4,8.3,5,10.5,10.9,10.1,0.43,0.23,7.1,,none,theory_heavy,Evening,No_issue,13.2
2,112,9,4.2,2,14.0,4.8,9.1,0.96,0.9,6.4,4.0,none,project_heavy,morning,panic_mode,4.5
2,208,7,8.8,5,0.3,5.1,10.0,0.75,0.46,7.2,4.0,none,project_heavy,morning,Denial_mode,0.0
7,152,1,7.7,2,27.1,7.8,,0.15,0.99,5.5,2.0,basic,memorization_heavy,afternoon,Denial_mode,10.2
4,55,2,7.7,0,8.6,9.4,7.0,0.24,0.88,8.9,3.0,basic,project_heavy,afternoon,panic_mode,6.2
0,81,8,6.1,0,9.0,7.1,11.2,0.88,0.36,8.3,5.0,none,memorization_heavy,Evening,No_issue,11.8
9,293,4,6.2,6,35.1,11.2,14.4,0.49,0.38,8.1,3.0,strong,project_heavy,morning,panic_mode,14.7
6,199,6,7.2,1,0.8,14.6,16.4,0.62,0.74,3.3,,basic,theory_heavy,Evening,panic_mode,13.1
4,300,9,6.9,5,30.0,13.9,14.5,0.9,0.42,6.1,3.0,none,memorization_heavy,morning,No_issue,16.8
9,246,1,6.1,2,18.0,11.6,8.5,0.14,0.7,5.3,3.0,,theory_heavy,Evening,panic_mode,7.7
2,113,0,6.5,2,33.9,11.2,12.7,0.02,0.15,3.6,4.0,basic,theory_heavy,Evening,panic_mode,14.6
1,146,3,7.8,3,10.9,19.5,19.3,0.37,0.64,3.6,3.0,strong,memorization_heavy,Evening,panic_mode,9.5
2,136,5,5.5,5,3.2,4.6,12.9,0.57,0.42,3.4,5.0,basic,theory_heavy,Evening,Denial_mode,2.3
3,170,3,6.4,2,10.6,10.2,13.2,0.32,0.41,7.5,3.0,basic,theory_heavy,morning,No_issue,12.2
0,83,4,8.3,6,4.3,5.7,11.0,0.46,0.61,6.7,3.0,,memorization_heavy,Evening,Denial_mode,5.2
0,172,4,8.8,1,11.3,14.1,12.5,0.4,0.26,4.6,2.0,basic,theory_heavy,afternoon,No_issue,14.4
10,296,3,5.8,3,22.1,12.4,14.7,0.36,0.42,7.6,2.0,basic,theory_heavy,Evening,No_issue,16.7
7,90,7,5.2,6,39.5,10.8,12.6,0.76,0.12,8.8,4.0,none,project_heavy,Evening,panic_mode,12.1
10,290,7,8.7,5,0.7,12.0,14.4,0.77,0.7,8.5,3.0,strong,project_heavy,morning,No_issue,12.7
4,116,3,6.8,7,4.3,8.8,7.5,0.35,0.77,8.4,5.0,none,project_heavy,afternoon,panic_mode,8.5
4,52,0,4.1,1,35.7,14.0,11.9,0.01,0.84,5.5,2.0,basic,project_heavy,Evening,Denial_mode,8.7
1,122,5,7.9,2,4.6,11.1,7.6,0.52,0.64,3.2,4.0,basic,project_heavy,morning,Denial_mode,1.3
0,120,3,7.1,5,7.8,9.1,10.9,0.4,0.15,8.6,3.0,none,theory_heavy,Evening,No_issue,10.5
6,73,7,6.6,0,5.5,9.3,11.1,0.78,0.84,3.3,4.0,none,theory_heavy,afternoon,panic_mode,11.3
8,131,2,9.0,7,8.2,13.0,14.6,0.23,0.87,3.7,,strong,theory_heavy,afternoon,panic_mode,6.4
4,225,5,6.3,2,8.6,6.9,13.2,0.57,0.05,3.7,3.0,basic,theory_heavy,Evening,panic_mode,8.7
1,176,6,7.6,0,2.0,9.3,16.3,0.61,0.79,7.0,4.0,strong,memorization_heavy,morning,Denial_mode,7.5
10,90,9,7.5,0,30.4,12.2,14.6,0.98,0.6,3.5,2.0,none,memorization_heavy,afternoon,No_issue,17.3
1,77,5,5.7,4,1.0,14.8,10.4,0.56,0.47,3.8,3.0,none,theory_heavy,afternoon,Denial_mode,4.5
9,100,0,7.4,5,20.2,18.3,19.1,0.01,0.94,7.1,1.0,strong,memorization_heavy,morning,Denial_mode,11.3
4,274,2,6.7,6,32.1,11.6,10.3,0.21,0.69,7.7,2.0,basic,theory_heavy,morning,Denial_mode,8.2
9,155,5,5.3,5,22.0,12.9,18.6,0.55,0.4,3.5,3.0,strong,project_heavy,afternoon,panic_mode,10.6
0,264,0,8.4,5,4.3,15.7,11.4,0.02,0.69,3.1,3.0,basic,theory_heavy,afternoon,Denial_mode,8.8
4,217,0,7.1,5,27.1,5.1,10.9,0.05,0.47,7.4,2.0,none,project_heavy,morning,Denial_mode,6.2
0,180,6,5.0,7,4.0,10.9,11.9,0.61,0.91,4.8,5.0,basic,memorization_heavy,Evening,Denial_mode,5.0
7,89,1,6.8,1,13.7,12.3,14.7,0.18,0.48,5.0,,none,theory_heavy,morning,No_issue,15.2
6,249,9,4.8,6,8.3,16.9,,0.98,0.31,6.2,,strong,project_heavy,Evening,panic_mode,9.0
2,90,5,7.1,2,19.9,9.8,12.6,0.56,0.98,5.3,2.0,none,theory_heavy,morning,No_issue,12.4
3,170,1,8.5,1,24.6,14.4,13.8,0.16,0.68,4.6,1.0,basic,memorization_heavy,afternoon,Denial_mode,9.7
2,152,2,7.8,3,35.8,9.8,9.5,0.24,0.33,8.2,3.0,none,project_heavy,morning,panic_mode,10.1
9,242,2,7.4,4,12.5,18.6,19.0,0.28,0.29,6.5,1.0,strong,project_heavy,Evening,Denial_mode,13.2
8,75,9,7.0,2,18.5,13.5,9.8,0.91,0.91,8.0,2.0,basic,memorization_heavy,morning,Denial_mode,8.7
0,157,9,6.2,1,8.5,7.5,9.2,0.91,0.06,4.4,4.0,none,memorization_heavy,Evening,panic_mode,8.9
1,155,8,4.0,0,8.6,20.0,20.0,0.83,0.79,7.5,4.0,strong,memorization_heavy,Evening,No_issue,19.9
4,250,0,8.2,3,10.7,11.4,9.5,0.08,0.71,4.0,2.0,basic,theory_heavy,Evening,Denial_mode,5.9
7,55,4,4.8,1,38.4,8.9,10.9,0.45,0.7,8.1,2.0,none,theory_heavy,morning,Denial_mode,7.7
10,155,9,5.6,7,28.7,11.8,13.3,0.92,0.07,7.3,4.0,basic,theory_heavy,Evening,panic_mode,17.0
4,217,6,7.5,6,38.0,11.8,14.3,0.66,0.37,7.5,,basic,project_heavy,Evening,No_issue,17.3
9,102,9,7.5,2,36.5,17.7,13.8,0.93,0.76,5.1,2.0,basic,project_heavy,afternoon,No_issue,17.2
9,183,4,4.2,0,21.5,3.4,7.3,0.46,0.11,7.0,3.0,none,memorization_heavy,afternoon,panic_mode,2.7
1,263,7,5.4,3,9.1,14.2,18.1,0.73,0.45,8.9,5.0,basic,theory_heavy,Evening,No_issue,17.0
1,192,2,7.7,3,8.8,11.5,7.8,0.23,0.75,5.7,,none,project_heavy,morning,panic_mode,5.9
6,292,2,6.4,1,31.8,20.0,20.0,0.27,0.95,3.6,2.0,basic,project_heavy,Evening,Denial_mode,14.9
4,145,0,4.5,0,14.0,6.3,7.7,0.06,0.63,3.9,3.0,none,project_heavy,morning,panic_mode,4.2
8,121,9,4.5,7,18.9,10.1,13.5,0.94,0.56,5.7,3.0,strong,project_heavy,Evening,panic_mode,8.2
7,265,6,7.4,6,0.1,16.0,14.9,0.62,0.17,5.8,3.0,strong,project_heavy,afternoon,panic_mode,12.3
10,154,8,8.6,4,19.3,14.6,11.7,0.89,0.38,8.2,2.0,none,theory_heavy,morning,Denial_mode,8.8
7,295,6,7.8,6,28.5,6.8,9.7,0.67,0.8,6.9,2.0,none,memorization_heavy,morning,No_issue,13.2
7,62,7,7.2,0,16.4,4.8,5.6,0.72,0.18,7.6,2.0,none,theory_heavy,afternoon,No_issue,10.6
0,201,2,7.0,0,6.7,7.1,10.9,0.22,0.15,5.7,,none,theory_heavy,Evening,No_issue,10.5
8,162,2,7.4,2,24.4,5.3,10.8,0.26,0.18,5.5,1.0,none,project_heavy,Evening,Denial_mode,6.2
5,236,1,5.4,6,17.9,2.4,7.3,0.11,0.27,7.7,4.0,none,project_heavy,morning,panic_mode,8.2
7,112,1,8.1,7,17.8,4.4,8.9,0.17,0.37,7.1,3.0,none,project_heavy,Evening,panic_mode,8.9
1,64,3,7.5,0,5.3,14.5,10.3,0.33,0.7,7.2,3.0,basic,project_heavy,morning,No_issue,12.3
0,181,4,5.3,6,8.1,13.4,9.9,0.44,0.48,6.9,5.0,none,theory_heavy,Evening,panic_mode,6.6
10,179,8,6.7,0,151.0,8.6,8.6,0.81,0.91,6.4,4.0,basic,theory_heavy,afternoon,panic_mode,5.3
2,96,6,8.2,0,8.8,13.2,12.6,0.65,0.7,4.3,4.0,none,memorization_heavy,morning,panic_mode,13.6
7,91,8,7.6,4,29.3,8.6,11.7,0.81,0.76,4.6,2.0,basic,memorization_heavy,morning,No_issue,14.5
3,289,8,6.1,7,22.2,8.5,11.4,0.88,0.28,7.7,3.0,strong,theory_heavy,morning,panic_mode,13.0
0,54,5,6.7,0,10.3,18.1,20.0,0.54,0.88,4.6,4.0,strong,project_heavy,morning,panic_mode,9.0
6,243,2,8.6,6,1.6,7.6,13.2,0.28,0.43,6.4,3.0,basic,theory_heavy,Evening,panic_mode,7.9
7,288,2,5.4,3,5.2,12.1,16.1,0.24,0.5,5.3,3.0,strong,project_heavy,afternoon,No_issue,14.2
8,138,2,7.4,3,28.8,4.8,5.3,0.22,0.33,5.5,2.0,none,theory_heavy,morning,Denial_mode,5.2
10,258,7,8.8,3,25.3,6.4,5.5,0.77,0.73,3.7,,none,theory_heavy,afternoon,No_issue,9.9
8,170,6,7.7,0,34.4,15.2,18.2,0.6,0.8,3.9,1.0,basic,project_heavy,afternoon,No_issue,18.9
2,114,9,8.1,3,37.9,16.3,17.2,0.91,0.2,4.4,,strong,theory_heavy,Evening,No_issue,18.7
10,238,7,7.8,4,26.5,13.4,11.5,0.79,0.8,6.1,1.0,basic,memorization_heavy,Evening,No_issue,14.8
3,74,4,7.2,3,2.7,13.3,15.2,0.43,0.66,4.3,3.0,basic,project_heavy,afternoon,panic_mode,8.3
7,106,7,4.2,7,30.2,8.9,8.1,0.79,0.56,6.8,,none,project_heavy,afternoon,panic_mode,9.9
7,63,5,5.7,1,28.0,9.3,11.8,0.56,0.59,6.6,3.0,none,project_heavy,afternoon,No_issue,13.7
9,233,7,4.7,5,0.2,11.8,11.9,0.78,0.13,8.2,3.0,none,theory_heavy,morning,No_issue,9.9
9,252,7,6.4,7,29.8,5.7,10.6,0.75,0.38,4.9,3.0,none,theory_heavy,morning,panic_mode,9.0
9,121,0,5.0,2,20.8,9.6,10.8,0.07,0.05,4.5,2.0,none,project_heavy,morning,Denial_mode,6.3
1,97,8,6.7,3,4.8,9.0,10.6,0.82,0.31,6.7,4.0,basic,memorization_heavy,Evening,Denial_mode,5.7
1,143,2,5.0,1,7.7,10.6,14.4,0.21,0.41,3.7,4.0,basic,memorization_heavy,afternoon,panic_mode,18.0
0,147,3,7.2,7,3.6,3.9,8.4,0.4,0.53,4.4,4.0,none,memorization_heavy,afternoon,Denial_mode,3.6
2,192,4,7.5,4,39.0,12.7,11.5,0.5,0.56,5.1,3.0,basic,theory_heavy,Evening,No_issue,15.0
9,189,6,5.6,5,15.7,8.9,10.1,0.64,0.33,3.4,3.0,,project_heavy,Evening,panic_mode,8.4
4,160,4,7.8,1,2.4,7.8,6.7,0.44,0.7,3.8,3.0,none,memorization_heavy,morning,panic_mode,3.5
7,213,8,8.8,2,5.4,13.6,17.5,0.84,0.07,4.8,3.0,strong,project_heavy,afternoon,panic_mode,11.4
7,241,8,5.0,6,29.1,8.4,10.9,0.84,0.45,7.2,3.0,none,project_heavy,Evening,panic_mode,12.3
10,131,5,4.0,6,25.3,14.8,14.2,0.54,0.59,5.8,2.0,strong,memorization_heavy,morning,No_issue,16.8
3,76,1,8.2,1,20.0,5.4,11.0,0.19,0.42,5.2,1.0,basic,theory_heavy,Evening,Denial_mode,4.7
0,96,5,7.1,0,6.8,20.0,,0.57,0.57,3.6,3.0,basic,memorization_heavy,Evening,panic_mode,15.1
9,95,5,7.2,4,21.6,7.8,10.6,0.55,0.96,5.7,1.0,none,memorization_heavy,afternoon,No_issue,12.6
9,279,6,6.7,6,18.1,8.0,11.9,0.67,0.29,6.0,3.0,none,memorization_heavy,morning,panic_mode,6.2
4,85,0,4.2,3,32.0,16.9,18.3,0.02,0.06,8.7,2.0,strong,theory_heavy,afternoon,Denial_mode,12.4
5,249,6,8.6,21,32.6,11.7,13.4,0.7,0.36,3.1,1.0,basic,memorization_heavy,morning,No_issue,13.7
8,204,4,8.4,3,0.9,9.0,10.3,0.47,0.07,5.6,,none,memorization_heavy,morning,No_issue,10.7
5,275,7,8.5,1,32.5,17.7,15.7,0.72,0.65,5.6,1.0,none,memorization_heavy,morning,No_issue,16.2
7,57,3,7.8,1,35.5,12.1,11.6,0.4,0.58,3.9,2.0,basic,memorization_heavy,afternoon,No_issue,15.8
3,135,4,8.4,0,23.2,9.1,13.4,0.47,0.49,7.3,1.0,none,theory_heavy,Evening,No_issue,15.0
10,59,5,6.7,7,25.6,8.7,7.7,0.58,0.92,7.2,3.0,none,project_heavy,afternoon,panic_mode,13.9
5,266,9,4.6,3,10.5,16.2,16.6,0.91,0.65,5.5,2.0,basic,theory_heavy,Evening,No_issue,16.3
0,59,9,6.2,4,2.7,2.6,6.6,0.98,0.28,6.0,5.0,none,project_heavy,Evening,Denial_mode,2.3
10,271,5,4.5,3,22.1,17.1,15.6,0.54,0.44,6.1,,basic,memorization_heavy,afternoon,No_issue,17.9
10,279,3,6.7,7,32.3,11.4,18.3,0.38,0.49,8.2,4.0,strong,theory_heavy,morning,panic_mode,6.0
4,212,0,7.2,4,2.6,7.7,12.4,0.09,0.42,6.8,,none,project_heavy,morning,Denial_mode,2.9
2,271,8,4.2,4,19.4,9.6,10.7,0.88,0.25,4.8,3.0,none,project_heavy,morning,panic_mode,10.5
1,58,5,7.0,2,0.6,17.6,14.4,0.6,0.75,6.6,4.0,basic,theory_heavy,afternoon,Denial_mode,3.9
3,121,4,6.8,2,17.2,15.2,15.7,0.48,0.35,8.0,2.0,basic,theory_heavy,Evening,No_issue,15.8
0,185,1,4.4,0,8.2,18.3,18.6,0.17,0.25,3.7,5.0,strong,project_heavy,Evening,panic_mode,13.5
8,221,8,6.0,7,15.1,9.9,9.7,0.9,0.59,3.4,3.0,basic,theory_heavy,afternoon,panic_mode,5.4
5,134,2,6.2,6,39.1,6.6,9.7,0.23,0.63,8.6,4.0,none,memorization_heavy,Evening,panic_mode,11.0
1,227,9,6.0,3,5.6,14.9,16.0,0.95,0.7,7.9,4.0,basic,theory_heavy,afternoon,No_issue,16.1
10,134,7,5.2,0,10.4,15.9,18.1,0.73,0.95,4.8,2.0,strong,memorization_heavy,Evening,No_issue,16.5
7,55,0,4.6,4,18.7,18.8,19.8,0.06,0.35,8.4,3.0,strong,theory_heavy,afternoon,No_issue,20.0
2,55,7,8.4,3,37.5,7.2,11.8,0.76,0.21,5.3,3.0,basic,project_heavy,morning,No_issue,14.6
9,124,2,4.5,4,2.2,15.9,14.8,0.22,0.54,5.7,3.0,basic,memorization_heavy,afternoon,No_issue,14.0
4,271,5,7.8,4,33.6,14.1,13.6,0.51,0.36,6.0,1.0,strong,project_heavy,morning,No_issue,16.4
8,133,8,6.4,1,8.4,13.3,14.1,0.85,0.05,6.8,4.0,basic,memorization_heavy,afternoon,No_issue,12.5
10,239,6,4.8,1,3.4,14.8,12.2,0.65,0.98,7.0,3.0,basic,project_heavy,morning,No_issue,14.4
