days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type
3,218,0,4.2,0,15.7,15.2,18.2,0.01,0.53,6.1,3.0,strong,theory_heavy,afternoon,No_issue
8,121,6,7.2,7,0.6,16.8,18.3,0.68,0.17,7.0,,strong,project_heavy,morning,panic_mode
7,268,2,7.8,3,32.6,3.7,9.9,0.26,0.01,5.6,2.0,none,memorization_heavy,Evening,Denial_mode
6,148,7,4.6,0,23.8,10.8,16.6,0.8,0.15,6.8,3.0,strong,theory_heavy,Evening,No_issue
9,107,9,6.2,5,35.6,10.6,15.7,0.98,0.16,5.5,3.0,basic,project_heavy,Evening,No_issue
5,60,7,8.7,1,3.6,13.5,13.6,0.77,0.12,3.4,,basic,memorization_heavy,afternoon,No_issue
7,205,9,4.7,2,13.0,10.5,12.6,0.9,0.34,8.6,2.0,none,project_heavy,Evening,Denial_mode
4,232,0,6.0,4,2.3,11.0,15.8,0.08,0.17,7.4,4.0,strong,theory_heavy,morning,No_issue
9,80,7,8.4,2,10.6,11.0,13.0,0.77,0.42,5.1,,basic,memorization_heavy,Evening,No_issue
6,177,6,8.0,2,8.0,15.2,16.5,0.61,0.79,4.8,3.0,strong,memorization_heavy,afternoon,panic_mode
6,76,8,4.0,1,22.8,13.8,18.7,0.83,0.16,6.6,2.0,strong,memorization_heavy,afternoon,No_issue
5,139,0,5.8,5,13.0,8.7,8.2,0.05,0.99,7.5,3.0,none,memorization_heavy,morning,panic_mode
3,53,8,5.3,7,35.6,10.4,13.9,0.88,0.93,7.9,3.0,basic,memorization_heavy,Evening,panic_mode
7,243,4,7.4,6,25.7,7.7,9.7,0.46,0.27,5.4,3.0,none,project_heavy,morning,panic_mode
6,235,8,5.7,2,3.6,15.5,14.7,0.83,0.51,7.2,4.0,basic,project_heavy,afternoon,No_issue
5,150,3,5.9,7,17.7,12.1,9.8,0.35,0.57,7.0,4.0,basic,theory_heavy,Evening,panic_mode
2,201,7,7.2,6,8.4,17.5,15.1,0.77,0.45,5.7,4.0,basic,theory_heavy,afternoon,panic_mode
4,60,5,8.0,3,38.4,14.6,10.9,0.58,0.91,8.0,2.0,basic,project_heavy,afternoon,No_issue
2,215,6,7.2,3,11.9,14.8,11.8,0.68,0.99,6.9,3.0,none,memorization_heavy,Evening,No_issue
8,211,9,5.6,1,0.9,7.4,13.6,0.96,0.45,7.7,3.0,strong,project_heavy,afternoon,No_issue
3,73,0,8.1,7,10.0,4.5,9.2,0.07,0.04,8.7,3.0,none,theory_heavy,Evening,panic_mode
9,203,0,4.7,5,34.0,14.1,14.9,0.0,0.37,8.7,3.0,basic,project_heavy,morning,No_issue
5,233,7,9.0,7,39.9,11.7,11.0,0.78,0.96,6.7,1.0,,project_heavy,morning,No_issue
5,143,1,5.3,3,33.8,11.1,14.2,0.11,0.17,8.9,2.0,basic,project_heavy,Evening,Denial_mode
7,166,2,4.2,0,38.4,20.0,14.8,0.28,0.5,3.3,2.0,basic,memorization_heavy,Evening,Denial_mode
4,81,9,4.9,5,19.0,12.6,11.0,0.94,0.92,4.7,3.0,basic,theory_heavy,Evening,panic_mode
6,81,4,4.7,5,33.5,14.1,,0.44,0.38,5.8,3.0,strong,memorization_heavy,afternoon,No_issue
5,88,4,4.2,0,7.9,7.1,11.5,0.48,0.28,7.8,3.0,none,theory_heavy,morning,No_issue
2,277,5,7.4,2,15.5,10.2,15.6,0.6,0.43,4.1,3.0,basic,project_heavy,Evening,panic_mode
4,265,3,6.3,0,9.2,18.2,17.3,0.3,0.75,8.2,3.0,,project_heavy,Evening,No_issue
3,89,6,5.4,7,24.5,18.0,13.4,0.68,0.59,5.8,3.0,basic,theory_heavy,morning,panic_mode
5,145,3,5.7,5,7.0,16.0,14.5,0.39,0.67,9.0,4.0,basic,theory_heavy,afternoon,No_issue
6,292,9,8.6,6,17.4,4.4,9.0,0.96,0.47,7.5,2.0,none,theory_heavy,morning,No_issue
7,284,9,6.2,3,28.7,6.0,10.5,0.93,0.25,8.8,,none,project_heavy,afternoon,No_issue
8,242,4,8.4,6,3.4,16.6,11.4,0.45,0.81,7.2,2.0,none,project_heavy,Evening,No_issue
5,243,4,5.3,5,39.0,11.1,8.4,0.48,0.66,8.8,4.0,basic,theory_heavy,Evening,panic_mode
8,195,2,6.3,1,27.8,13.6,11.9,0.2,0.58,4.8,3.0,none,theory_heavy,morning,panic_mode
6,187,5,8.6,3,1.9,16.5,19.7,0.52,0.68,3.4,2.0,strong,project_heavy,afternoon,No_issue
2,91,8,5.7,1,36.0,10.0,12.7,0.85,0.36,4.6,4.0,none,memorization_heavy,Evening,panic_mode
2,191,6,4.5,3,27.8,11.4,11.1,0.6,0.75,4.5,3.0,none,memorization_heavy,Evening,panic_mode
1,165,8,6.4,4,11.9,9.1,11.5,0.85,0.4,3.8,3.0,none,theory_heavy,Evening,panic_mode
7,66,5,6.3,7,34.7,17.4,13.4,0.58,0.92,5.4,2.0,basic,project_heavy,afternoon,No_issue
2,161,7,8.8,0,5.9,7.9,11.0,0.78,0.7,8.0,4.0,none,theory_heavy,morning,No_issue
0,216,9,5.5,0,7.2,2.3,8.5,0.94,0.4,8.0,5.0,basic,theory_heavy,morning,panic_mode
3,274,9,5.0,1,18.0,18.7,20.0,0.94,0.16,4.4,2.0,strong,theory_heavy,morning,No_issue
5,115,7,8.2,3,10.6,15.4,14.5,0.77,0.31,6.1,1.0,strong,project_heavy,afternoon,No_issue
7,236,3,8.2,3,21.2,9.2,8.4,0.35,0.91,6.9,2.0,none,memorization_heavy,morning,No_issue
8,143,3,5.3,7,24.9,3.9,9.5,0.34,0.09,8.1,,none,theory_heavy,afternoon,panic_mode
8,54,6,6.9,1,37.3,15.2,16.3,0.69,0.37,5.2,2.0,basic,memorization_heavy,afternoon,No_issue
10,290,5,4.2,1,25.1,8.9,8.1,0.53,0.62,5.2,3.0,basic,project_heavy,morning,panic_mode
3,215,2,6.9,2,37.1,10.7,,0.22,0.67,8.7,3.0,none,project_heavy,morning,No_issue
4,224,9,7.4,7,23.6,11.1,11.6,0.97,0.86,7.7,2.0,none,memorization_heavy,morning,No_issue
8,269,6,5.9,1,8.3,4.1,11.1,0.69,0.19,5.7,3.0,basic,project_heavy,afternoon,No_issue
5,275,4,6.2,3,8.1,4.3,,0.42,0.16,6.1,3.0,basic,project_heavy,Evening,No_issue
10,51,2,5.1,4,20.0,12.2,12.3,0.22,0.4,6.5,2.0,basic,theory_heavy,morning,Denial_mode
4,270,5,8.5,1,1.5,12.6,12.7,0.57,0.88,7.3,3.0,basic,memorization_heavy,Evening,No_issue
5,149,2,6.8,5,14.5,17.8,12.8,0.25,0.96,4.7,4.0,basic,theory_heavy,afternoon,panic_mode
8,75,0,7.5,5,11.5,8.5,12.1,0.06,0.23,7.9,2.0,basic,memorization_heavy,Evening,Denial_mode
5,67,5,7.9,3,23.9,11.9,12.4,0.51,0.69,7.7,1.0,none,theory_heavy,morning,No_issue
9,210,2,6.2,5,30.5,7.7,8.0,0.25,0.84,8.6,4.0,none,memorization_heavy,morning,panic_mode
5,274,1,7.7,3,15.8,16.3,20.0,0.12,0.24,4.4,2.0,strong,memorization_heavy,morning,Denial_mode
10,239,4,7.0,0,2.4,3.2,7.8,0.43,0.04,4.6,4.0,none,memorization_heavy,Evening,panic_mode
3,246,4,4.4,3,33.1,12.7,12.3,0.4,0.04,3.6,2.0,basic,memorization_heavy,afternoon,No_issue
2,115,8,8.5,2,37.7,10.4,11.2,0.88,0.69,6.3,,none,project_heavy,morning,No_issue
7,99,5,8.0,5,2.7,12.9,14.7,0.56,0.27,8.7,3.0,basic,theory_heavy,Evening,No_issue
9,66,3,4.1,4,7.1,14.8,16.7,0.31,0.25,3.6,4.0,basic,project_heavy,Evening,panic_mode
6,144,0,6.0,5,31.3,17.0,16.8,0.05,0.23,8.0,3.0,basic,project_heavy,afternoon,No_issue
9,244,6,5.5,4,22.3,15.8,14.3,0.68,0.67,8.8,,strong,project_heavy,afternoon,No_issue
8,165,2,5.2,7,1.1,14.1,17.7,0.22,0.36,4.7,5.0,none,theory_heavy,afternoon,panic_mode
3,161,9,6.9,1,5.0,13.6,13.9,0.97,0.2,6.5,3.0,basic,memorization_heavy,morning,No_issue
7,255,5,8.4,7,22.9,5.5,10.1,0.51,0.46,3.5,2.0,basic,project_heavy,afternoon,No_issue
1,53,9,7.8,2,6.7,14.1,14.1,0.9,0.51,4.8,4.0,basic,project_heavy,Evening,panic_mode
0,132,8,5.8,4,3.7,1.9,11.2,0.89,0.36,4.8,5.0,basic,project_heavy,afternoon,Denial_mode
5,267,0,8.8,1,6.1,19.1,20.0,0.01,0.79,6.8,3.0,strong,project_heavy,Evening,No_issue
5,187,7,8.6,2,25.1,15.5,17.2,0.73,0.96,6.7,2.0,strong,project_heavy,morning,No_issue
8,162,0,4.7,5,28.2,20.0,15.9,0.09,0.66,8.9,3.0,basic,project_heavy,morning,No_issue
1,293,9,8.4,7,6.7,9.8,9.3,0.98,0.52,8.8,,none,memorization_heavy,afternoon,panic_mode
7,256,8,4.1,1,32.8,8.7,9.4,0.84,0.28,4.5,3.0,none,memorization_heavy,Evening,panic_mode
1,222,3,8.3,7,7.8,8.9,14.9,0.37,0.41,6.4,4.0,basic,memorization_heavy,Evening,panic_mode
8,58,9,6.2,7,16.1,10.9,11.0,1.0,0.7,3.1,4.0,none,theory_heavy,morning,panic_mode
10,256,6,7.7,1,15.0,15.9,20.0,0.63,0.08,4.6,1.0,strong,theory_heavy,afternoon,No_issue
9,90,7,6.8,4,33.1,12.3,11.8,0.78,0.9,6.1,3.0,none,memorization_heavy,morning,No_issue
9,289,2,7.1,3,32.6,13.0,8.6,0.23,0.56,4.2,2.0,basic,memorization_heavy,morning,Denial_mode
9,262,5,5.3,0,6.8,10.6,12.0,0.55,0.92,3.2,3.0,none,project_heavy,morning,panic_mode
2,264,9,7.3,1,17.3,10.3,,0.92,0.22,7.1,3.0,basic,theory_heavy,afternoon,No_issue
3,279,0,7.9,6,37.3,19.1,15.2,0.08,0.81,8.6,3.0,none,memorization_heavy,afternoon,panic_mode
2,179,2,8.7,6,32.0,9.9,15.2,0.3,0.69,8.9,3.0,strong,memorization_heavy,morning,panic_mode
8,185,8,8.1,4,6.6,8.3,7.4,0.85,0.4,3.5,2.0,none,theory_heavy,Evening,No_issue
0,68,7,8.4,4,11.4,18.3,16.3,0.77,0.55,7.6,,basic,project_heavy,afternoon,No_issue
5,86,3,4.5,2,8.9,19.6,17.0,0.3,0.87,3.3,4.0,strong,project_heavy,morning,panic_mode
5,268,4,6.8,6,8.5,16.0,16.7,0.48,0.94,7.0,4.0,basic,theory_heavy,morning,panic_mode
8,218,9,6.5,0,35.4,11.8,16.4,0.98,0.31,4.0,3.0,strong,project_heavy,afternoon,panic_mode
5,144,5,5.9,2,9.5,16.5,13.3,0.57,0.8,8.6,3.0,none,theory_heavy,afternoon,No_issue
5,143,3,6.5,1,34.1,12.5,12.3,0.34,0.16,3.3,3.0,strong,memorization_heavy,afternoon,panic_mode
2,245,4,6.2,6,17.2,9.3,12.6,0.49,0.57,8.6,4.0,basic,theory_heavy,morning,panic_mode
5,51,0,8.7,3,7.1,15.5,16.2,0.1,0.86,3.2,2.0,basic,project_heavy,morning,Denial_mode
0,127,8,6.4,0,1.4,15.3,13.7,0.88,0.46,7.9,5.0,basic,project_heavy,afternoon,Denial_mode
5,259,8,7.5,6,13.2,4.6,,0.85,0.47,5.9,2.0,basic,project_heavy,afternoon,No_issue
7,262,3,7.8,5,27.2,9.4,14.7,0.38,0.33,5.5,2.0,basic,memorization_heavy,afternoon,No_issue
3,201,0,8.5,6,11.8,7.2,8.6,0.08,0.27,6.1,2.0,none,memorization_heavy,Evening,Denial_mode
4,162,1,8.6,0,3.1,4.9,7.3,0.13,0.29,8.8,2.0,none,theory_heavy,Evening,Denial_mode
4,280,7,8.3,6,23.6,16.2,18.3,0.75,0.26,3.3,2.0,strong,theory_heavy,afternoon,No_issue
8,241,4,4.7,4,34.7,7.5,13.1,0.44,0.49,3.5,2.0,basic,project_heavy,afternoon,No_issue
8,221,8,7.0,0,16.0,5.8,12.8,0.88,0.12,5.7,3.0,strong,memorization_heavy,afternoon,No_issue
10,117,4,6.4,0,5.9,8.1,9.0,0.41,0.96,7.0,,none,project_heavy,morning,panic_mode
10,53,5,4.5,5,2.5,6.4,9.1,0.52,0.08,8.8,5.0,none,theory_heavy,Evening,panic_mode
1,50,4,6.2,6,6.2,7.0,12.3,0.45,0.87,7.5,5.0,basic,memorization_heavy,afternoon,panic_mode
7,207,4,5.2,7,27.0,7.9,8.5,0.5,0.42,5.7,3.0,basic,memorization_heavy,Evening,panic_mode
2,64,7,8.8,5,33.9,9.5,12.0,0.73,0.69,7.6,3.0,none,theory_heavy,afternoon,No_issue
7,129,8,9.0,5,29.7,12.6,10.6,0.83,0.84,8.6,1.0,basic,memorization_heavy,afternoon,Denial_mode
4,165,9,8.9,4,3.0,15.3,16.2,0.91,0.37,3.3,2.0,basic,project_heavy,afternoon,No_issue
9,271,1,7.2,6,19.8,9.9,11.1,0.13,0.26,5.4,2.0,basic,project_heavy,Evening,Denial_mode
3,212,6,6.1,6,33.3,6.7,9.7,0.6,0.66,4.3,3.0,none,memorization_heavy,morning,panic_mode
8,172,3,7.9,5,27.0,15.9,19.1,0.39,0.61,7.1,1.0,strong,memorization_heavy,afternoon,No_issue
3,251,4,6.9,6,31.7,8.6,12.0,0.46,0.22,7.6,4.0,basic,theory_heavy,afternoon,panic_mode
2,130,5,8.6,1,34.3,17.1,11.7,0.58,0.53,6.5,3.0,none,theory_heavy,Evening,No_issue
3,197,0,8.2,0,34.9,14.1,12.1,0.09,0.59,6.0,1.0,none,project_heavy,morning,Denial_mode
10,177,7,7.0,2,18.6,20.0,19.5,0.71,0.9,5.0,2.0,strong,memorization_heavy,Evening,No_issue
7,179,9,5.0,4,7.6,15.4,17.5,0.93,0.21,5.0,,strong,memorization_heavy,morning,panic_mode
6,140,2,5.4,1,10.2,5.3,6.9,0.27,0.05,6.9,3.0,none,project_heavy,Evening,panic_mode
9,270,0,5.9,6,27.5,8.2,9.3,0.06,0.06,4.4,4.0,none,theory_heavy,afternoon,panic_mode
8,152,3,8.2,4,9.6,3.1,7.7,0.34,0.25,4.4,3.0,none,memorization_heavy,Evening,panic_mode
10,59,9,5.0,1,39.6,15.3,14.8,0.91,0.93,7.8,1.0,none,theory_heavy,morning,No_issue
7,284,5,7.9,2,6.3,8.7,12.0,0.57,0.56,3.7,3.0,basic,theory_heavy,afternoon,panic_mode
7,284,1,6.3,6,5.0,11.4,10.5,0.14,0.99,5.2,5.0,none,memorization_heavy,afternoon,panic_mode
1,177,9,8.2,0,1.1,11.9,15.3,0.94,0.03,5.2,3.0,basic,project_heavy,morning,Denial_mode
3,118,2,6.9,2,3.8,12.0,9.1,0.3,0.97,3.4,4.0,none,memorization_heavy,morning,panic_mode
6,272,5,8.4,4,27.7,6.5,6.7,0.55,0.64,8.8,,none,theory_heavy,afternoon,Denial_mode
0,255,9,6.2,6,1.1,14.9,12.9,0.99,0.79,5.9,4.0,basic,memorization_heavy,afternoon,Denial_mode
4,107,1,7.6,2,26.1,8.8,8.8,0.14,0.49,6.7,1.0,none,project_heavy,afternoon,Denial_mode
4,51,7,7.6,7,12.7,16.3,19.9,0.79,0.5,6.6,2.0,strong,project_heavy,morning,No_issue
9,263,7,4.3,2,23.4,14.8,8.7,0.75,0.97,8.4,2.0,basic,theory_heavy,Evening,Denial_mode
4,231,9,7.0,0,20.8,0.1,6.7,0.92,0.2,7.6,3.0,none,memorization_heavy,Evening,panic_mode
10,64,1,5.6,3,27.9,9.3,15.6,0.17,0.44,4.7,3.0,basic,theory_heavy,afternoon,panic_mode
5,177,8,7.6,3,14.4,17.1,16.9,0.88,0.64,8.1,2.0,strong,theory_heavy,afternoon,Denial_mode
8,222,0,4.9,4,36.9,14.6,,0.04,0.7,5.7,3.0,none,theory_heavy,afternoon,No_issue
10,167,2,8.0,1,5.9,8.8,13.7,0.24,0.32,4.3,,basic,memorization_heavy,Evening,panic_mode
6,102,2,6.9,5,2.4,11.8,8.0,0.26,0.78,6.0,5.0,none,project_heavy,Evening,panic_mode
5,279,4,6.5,2,34.0,20.0,16.6,0.49,0.57,8.5,,strong,project_heavy,morning,No_issue
6,178,2,6.8,4,31.3,10.8,10.2,0.25,0.54,6.5,2.0,strong,theory_heavy,morning,Denial_mode
10,154,9,4.3,2,26.2,19.4,,0.95,0.62,8.8,2.0,,project_heavy,afternoon,Denial_mode
1,94,6,4.3,7,6.3,11.3,11.7,0.65,0.97,5.5,5.0,basic,memorization_heavy,morning,panic_mode
2,290,5,5.3,5,15.4,11.6,9.1,0.53,0.68,6.8,5.0,none,project_heavy,morning,panic_mode
5,161,5,4.9,1,7.7,12.7,13.4,0.51,0.21,3.0,3.0,none,memorization_heavy,Evening,panic_mode
3,78,9,8.8,0,14.8,9.2,10.4,0.92,0.7,4.1,2.0,none,project_heavy,afternoon,No_issue
6,190,0,5.0,4,33.4,9.3,12.6,0.09,0.13,4.5,3.0,basic,theory_heavy,morning,panic_mode
0,51,2,8.2,7,1.7,10.7,9.4,0.24,0.52,6.9,4.0,none,theory_heavy,afternoon,Denial_mode
7,121,5,6.5,5,9.2,20.0,17.3,0.57,0.77,3.9,4.0,basic,project_heavy,morning,panic_mode
1,119,7,5.1,1,5.4,8.5,11.9,0.73,0.51,7.4,3.0,none,theory_heavy,Evening,No_issue
9,86,3,6.2,1,37.7,4.8,11.7,0.35,0.02,6.1,2.0,basic,memorization_heavy,afternoon,No_issue
6,238,1,4.5,2,22.4,15.4,11.7,0.13,0.79,4.8,3.0,basic,memorization_heavy,afternoon,panic_mode
7,209,8,8.9,6,15.2,10.5,10.1,0.82,0.26,7.6,2.0,none,theory_heavy,morning,No_issue
1,189,8,5.4,1,6.1,0.0,8.9,0.9,0.12,8.0,5.0,basic,theory_heavy,afternoon,panic_mode
4,127,3,6.4,0,35.8,14.7,14.6,0.33,0.62,5.0,4.0,strong,theory_heavy,afternoon,panic_mode
6,77,9,8.5,3,20.6,7.5,10.9,0.93,0.18,7.8,2.0,none,theory_heavy,morning,No_issue
6,72,9,6.5,2,30.0,4.3,6.7,0.98,0.23,7.5,3.0,,memorization_heavy,Evening,panic_mode
8,209,0,5.1,0,22.7,7.0,11.5,0.09,0.47,4.8,3.0,none,memorization_heavy,morning,panic_mode
7,104,2,7.1,7,14.0,13.7,16.2,0.2,0.29,6.5,2.0,basic,memorization_heavy,afternoon,Denial_mode
0,275,3,6.5,3,1.4,3.4,9.0,0.38,0.34,6.4,5.0,none,theory_heavy,morning,Denial_mode
3,128,1,5.5,3,32.3,2.0,7.5,0.13,0.33,7.2,3.0,basic,project_heavy,morning,panic_mode
4,94,7,4.7,2,12.3,11.7,15.9,0.72,0.22,4.5,,basic,memorization_heavy,Evening,panic_mode
10,210,7,6.4,3,22.3,5.3,,0.71,0.72,6.6,2.0,none,theory_heavy,Evening,No_issue
5,54,3,8.9,6,37.3,6.8,8.4,0.33,0.37,7.4,3.0,basic,memorization_heavy,Evening,panic_mode
9,79,9,4.5,2,15.5,9.2,7.6,0.92,0.57,8.6,3.0,none,project_heavy,morning,panic_mode
10,235,4,8.8,0,1.4,11.8,10.9,0.47,0.33,5.1,,basic,memorization_heavy,afternoon,No_issue
5,254,2,4.3,0,0.3,6.9,14.1,0.24,0.14,4.3,4.0,basic,memorization_heavy,afternoon,panic_mode
0,177,3,8.2,2,8.2,16.7,20.0,0.39,0.27,8.9,3.0,strong,project_heavy,morning,No_issue
1,259,4,6.1,5,9.6,2.7,,0.49,0.21,8.8,5.0,none,project_heavy,afternoon,No_issue
5,221,9,8.1,6,6.8,10.4,15.3,0.94,0.02,5.3,3.0,basic,project_heavy,morning,panic_mode
7,74,1,6.1,1,32.0,8.4,13.2,0.13,0.25,7.7,3.0,none,memorization_heavy,morning,No_issue
3,300,8,4.0,2,24.2,7.8,13.1,0.83,0.04,4.9,3.0,none,memorization_heavy,Evening,panic_mode
3,186,8,8.3,0,20.0,13.4,12.1,0.87,0.61,7.2,2.0,basic,theory_heavy,Evening,No_issue
1,85,2,6.1,0,9.6,11.1,11.4,0.25,0.4,8.4,4.0,none,project_heavy,Evening,No_issue
6,93,5,7.0,1,33.7,11.8,16.2,0.51,0.44,6.7,3.0,basic,project_heavy,morning,No_issue
9,299,6,7.5,0,26.0,7.8,11.6,0.63,0.28,8.6,1.0,basic,theory_heavy,afternoon,Denial_mode
7,109,7,4.3,5,17.8,13.9,16.6,0.72,0.38,8.0,2.0,basic,project_heavy,afternoon,No_issue
1,130,5,5.6,3,0.7,20.0,17.9,0.59,0.94,7.3,5.0,strong,memorization_heavy,morning,Denial_mode
1,61,7,4.4,0,5.2,11.8,13.1,0.76,0.37,3.6,5.0,basic,project_heavy,morning,panic_mode
3,176,9,4.1,0,11.6,9.8,11.1,0.95,0.11,6.8,3.0,none,memorization_heavy,Evening,No_issue
9,174,4,6.4,7,36.9,11.8,13.4,0.45,0.64,3.3,3.0,none,memorization_heavy,morning,panic_mode
10,236,3,6.0,2,23.4,9.6,13.5,0.35,0.17,6.9,3.0,none,memorization_heavy,afternoon,No_issue
7,117,1,4.7,0,3.0,11.7,11.7,0.11,0.66,8.3,4.0,basic,theory_heavy,Evening,No_issue
1,220,0,4.4,5,11.8,10.9,12.5,0.1,0.38,4.7,4.0,none,memorization_heavy,Evening,panic_mode
3,235,9,7.2,2,11.0,6.6,11.6,0.94,0.29,7.4,2.0,none,memorization_heavy,afternoon,No_issue
6,167,7,4.7,0,5.9,12.7,12.5,0.74,0.2,6.4,4.0,,project_heavy,morning,No_issue
8,233,4,4.3,0,15.3,17.6,18.3,0.43,0.0,3.8,2.0,basic,theory_heavy,afternoon,No_issue
8,218,3,6.9,6,38.2,20.0,18.6,0.34,0.96,5.7,3.0,strong,memorization_heavy,afternoon,panic_mode
4,97,6,8.7,3,14.2,11.6,14.9,0.6,0.76,8.4,2.0,strong,theory_heavy,morning,Denial_mode
6,145,8,6.0,6,15.7,12.7,14.6,0.82,0.21,3.2,3.0,strong,project_heavy,morning,panic_mode
5,104,3,8.5,4,21.2,8.6,7.7,0.3,0.2,7.6,,none,memorization_heavy,afternoon,No_issue
10,233,7,6.7,4,9.2,10.7,10.9,0.8,0.46,8.9,3.0,basic,memorization_heavy,Evening,No_issue
8,248,3,8.7,7,36.7,8.1,7.9,0.3,0.48,4.8,3.0,none,project_heavy,afternoon,panic_mode
0,57,9,4.2,1,6.1,4.4,6.9,0.96,0.65,8.7,5.0,none,theory_heavy,morning,panic_mode
3,114,6,4.4,1,1.8,16.0,14.7,0.64,0.67,9.0,3.0,basic,memorization_heavy,afternoon,No_issue
1,65,0,5.4,0,4.6,6.9,,0.03,0.94,7.5,4.0,basic,theory_heavy,Evening,Denial_mode
4,254,1,5.0,1,23.2,10.1,12.5,0.19,0.43,8.3,3.0,basic,project_heavy,Evening,No_issue
7,156,1,4.7,7,33.5,15.6,16.8,0.11,0.23,3.7,5.0,,project_heavy,morning,panic_mode
0,86,6,5.7,1,9.7,5.1,10.8,0.69,0.08,4.4,,basic,project_heavy,morning,panic_mode
10,186,8,7.6,4,35.7,8.6,13.3,0.82,0.28,5.6,2.0,none,memorization_heavy,afternoon,No_issue
5,239,0,4.3,4,16.1,13.5,13.6,0.05,0.97,6.0,2.0,strong,memorization_heavy,morning,Denial_mode
3,281,0,8.7,4,11.7,12.4,14.6,0.02,0.09,4.4,1.0,strong,theory_heavy,morning,Denial_mode
10,234,3,6.1,6,29.2,5.3,10.2,0.32,0.01,8.7,4.0,none,project_heavy,morning,panic_mode
5,72,6,4.5,3,8.9,20.0,20.0,0.62,0.57,8.5,4.0,strong,project_heavy,afternoon,No_issue
6,253,6,6.3,5,25.2,12.1,13.3,0.63,0.38,6.5,3.0,none,theory_heavy,Evening,No_issue
4,289,5,8.3,1,7.0,12.4,11.1,0.59,0.73,7.3,2.0,basic,memorization_heavy,Evening,No_issue
6,163,4,7.4,6,4.2,12.1,12.3,0.48,0.63,7.6,3.0,basic,memorization_heavy,morning,panic_mode
2,212,1,8.1,2,2.1,11.6,9.9,0.12,0.84,6.2,4.0,basic,theory_heavy,afternoon,Denial_mode
7,87,3,9.0,6,35.9,12.9,11.6,0.4,0.68,3.3,1.0,none,memorization_heavy,afternoon,No_issue
4,120,1,8.8,7,21.0,9.0,14.6,0.12,0.18,8.3,3.0,strong,memorization_heavy,Evening,panic_mode
2,129,4,7.7,1,32.5,9.6,9.4,0.5,0.94,4.3,3.0,none,project_heavy,Evening,panic_mode
5,88,6,8.0,4,15.4,6.9,10.4,0.67,0.45,8.5,1.0,basic,theory_heavy,morning,Denial_mode
4,228,5,7.7,1,26.4,16.3,19.0,0.53,0.05,4.1,1.0,basic,theory_heavy,afternoon,No_issue
5,188,4,6.0,4,6.2,11.3,12.2,0.48,0.67,3.6,4.0,basic,project_heavy,morning,panic_mode
0,235,5,6.8,0,0.4,13.8,15.8,0.51,0.42,8.4,4.0,none,theory_heavy,morning,Denial_mode
1,198,8,7.6,1,5.1,16.9,14.0,0.85,0.49,3.2,3.0,basic,memorization_heavy,afternoon,panic_mode
0,262,4,8.3,5,10.5,10.9,10.1,0.43,0.23,7.1,,none,theory_heavy,Evening,No_issue
2,112,9,4.2,2,14.0,4.8,9.1,0.96,0.9,6.4,4.0,none,project_heavy,morning,panic_mode
2,208,7,8.8,5,0.3,5.1,10.0,0.75,0.46,7.2,4.0,none,project_heavy,morning,Denial_mode
7,152,1,7.7,2,27.1,7.8,,0.15,0.99,5.5,2.0,basic,memorization_heavy,afternoon,Denial_mode
4,55,2,7.7,0,8.6,9.4,7.0,0.24,0.88,8.9,3.0,basic,project_heavy,afternoon,panic_mode
0,81,8,6.1,0,9.0,7.1,11.2,0.88,0.36,8.3,5.0,none,memorization_heavy,Evening,No_issue
9,293,4,6.2,6,35.1,11.2,14.4,0.49,0.38,8.1,3.0,strong,project_heavy,morning,panic_mode
6,199,6,7.2,1,0.8,14.6,16.4,0.62,0.74,3.3,,basic,theory_heavy,Evening,panic_mode
4,300,9,6.9,5,30.0,13.9,14.5,0.9,0.42,6.1,3.0,none,memorization_heavy,morning,No_issue
9,246,1,6.1,2,18.0,11.6,8.5,0.14,0.7,5.3,3.0,,theory_heavy,Evening,panic_mode
2,113,0,6.5,2,33.9,11.2,12.7,0.02,0.15,3.6,4.0,basic,theory_heavy,Evening,panic_mode
1,146,3,7.8,3,10.9,19.5,19.3,0.37,0.64,3.6,3.0,strong,memorization_heavy,Evening,panic_mode
2,136,5,5.5,5,3.2,4.6,12.9,0.57,0.42,3.4,5.0,basic,theory_heavy,Evening,Denial_mode
3,170,3,6.4,2,10.6,10.2,13.2,0.32,0.41,7.5,3.0,basic,theory_heavy,morning,No_issue
0,83,4,8.3,6,4.3,5.7,11.0,0.46,0.61,6.7,3.0,,memorization_heavy,Evening,Denial_mode
0,172,4,8.8,1,11.3,14.1,12.5,0.4,0.26,4.6,2.0,basic,theory_heavy,afternoon,No_issue
10,296,3,5.8,3,22.1,12.4,14.7,0.36,0.42,7.6,2.0,basic,theory_heavy,Evening,No_issue
7,90,7,5.2,6,39.5,10.8,12.6,0.76,0.12,8.8,4.0,none,project_heavy,Evening,panic_mode
10,290,7,8.7,5,0.7,12.0,14.4,0.77,0.7,8.5,3.0,strong,project_heavy,morning,No_issue
4,116,3,6.8,7,4.3,8.8,7.5,0.35,0.77,8.4,5.0,none,project_heavy,afternoon,panic_mode
